Title,Genre,IMDB Rating,Rating
Dum,"Action, Crime, Drama",5.6,N/A
Dumb and Dumberer: When Harry Met Lloyd,Comedy,3.4,PG-13
Dumplin',"Comedy, Drama",6.6,PG-13
Duniya,"Action, Drama",6.9,Not Rated
Duplicate,"Action, Comedy, Crime",5.6,Not Rated
Earth to Echo,"Adventure, Family, Sci-Fi",5.8,PG
Earthquake Bird,"Crime, Drama, Mystery",5.9,R
East Side Sushi,Drama,7.1,PG
Easy A,"Comedy, Drama, Romance",7.0,PG-13
Eat Pray Love,"Biography, Drama, Romance",5.8,PG-13
Echo in the Canyon,"Documentary, Music",6.9,PG-13
Eddie: Strongman,Documentary,7.4,TV-14
Eddie Murphy: Delirious,Comedy,8.2,Not Rated
Eddie Murphy: Raw,"Documentary, Comedy",7.7,R
Edge of Fear,"Action, Crime, Thriller",4.4,Not Rated
Edge of Seventeen,"Comedy, Drama, Romance",6.8,Not Rated
Edoardo Ferrario: Temi Caldi,Comedy,6.8,N/A
Ee Nagaraniki Emaindi,"Comedy, Drama",8.0,N/A
Eeda,"Drama, Romance",7.1,N/A
Eerie,"Horror, Mystery, Thriller",4.7,N/A
Effie Gray,"Biography, Drama, Romance",6.0,PG-13
Eh Janam Tumhare Lekhe,Biography,8.6,N/A
Ek Cup Chya,Drama,7.3,N/A
Ek Hasina Thi,"Crime, Drama, Mystery",7.5,Not Rated
Ek Jaan Hain Hum,"Family, Romance",6.5,N/A
Ek Khiladi Ek Haseena,"Comedy, Crime, Thriller",5.7,N/A
Ek Ladki Ko Dekha Toh Aisa Laga,"Comedy, Drama, Romance",5.5,N/A
Ek Main Aur Ekk Tu,"Comedy, Drama, Romance",5.7,Not Rated
Eksi Elmalar,"Biography, Comedy, Drama",7.1,N/A
El Camino Christmas,"Comedy, Crime, Western",5.7,TV-MA
El Camino: A Breaking Bad Movie,"Action, Crime, Drama",7.3,TV-MA
El Che,"Documentary, Biography, History",6.0,N/A
"El especial de Alex Fernández, el Especial",Comedy,6.7,TV-MA
El sendero de la anaconda,Documentary,6.8,N/A
El silencio es bienvenido,Drama,4.7,N/A
El testigo,Documentary,8.1,N/A
Elaan,"Action, Crime, Thriller",5.4,Not Rated
Elevator Baby,"Comedy, Drama",7.0,TV-MA
Elf Pets: A Fox Cub's Christmas Tale,Animation,4.7,Not Rated
Elf Pets: Santa's Reindeer Rescue,"Short, Family",5.3,Not Rated
Eli,"Drama, Horror, Mystery",5.7,R
Elisa,Short,8.9,N/A
Elizabeth Harvest,"Horror, Sci-Fi, Thriller",5.8,R
Ellen DeGeneres: Relatable,Comedy,6.5,TV-MA
Elles étaient en guerre (1914 - 1918),Documentary,N/A,N/A
Elliot the Littlest Reindeer,"Animation, Family",5.1,PG
Elstree 1976,Documentary,5.9,Not Rated
Emelie,"Horror, Mystery, Thriller",5.4,Not Rated
EMI: Liya Hai To Chukana Padega,"Comedy, Crime, Drama",4.3,N/A
Emo the Musical,"Comedy, Music, Musical",6.0,TV-14
Employee of the Month,"Comedy, Romance",5.5,PG-13
Encounter: The Killing,"Crime, Drama",6.3,N/A
End of Watch,"Action, Crime, Drama",7.6,R
Enemy,"Drama, Mystery, Thriller",6.9,R
English Babu Desi Mem,"Comedy, Drama, Musical",4.8,Not Rated
Enissa Amani: Ehrenwort,Comedy,5.6,N/A
Enlighten Us,Documentary,6.2,N/A
Enola Holmes,"Action, Adventure, Crime",6.6,PG-13
Entanglement,"Comedy, Drama, Romance",6.0,N/A
Enter the Anime,Documentary,2.5,N/A
Enter the Dragon,"Action, Crime, Drama",7.7,R
Equals,"Drama, Romance, Sci-Fi",6.1,PG-13
Equilibrium,"Action, Drama, Sci-Fi",7.4,R
Eric Andre: Legalize Everything,Comedy,6.2,TV-MA
Escape from Mr. Lemoncello's Library,Family,5.4,TV-G
Esperando la carroza,Comedy,8.1,N/A
Estar o no estar,"Drama, Romance",5.3,N/A
Euphoria,Drama,8.4,TV-MA
Eurovision Song Contest: The Story of Fire Saga,"Comedy, Music",6.5,PG-13
Evan Almighty,"Comedy, Family, Fantasy",5.4,PG
Evening Shadows,Drama,7.1,N/A
Event Horizon,"Horror, Sci-Fi, Thriller",6.7,R
Every Time I Die,Thriller,5.2,N/A
Everybody Knows,Short,N/A,N/A
Everyday I Love You,"Drama, Romance",7.1,N/A
Everything About Her,"Comedy, Drama",7.2,TV-PG
Evolution,"Comedy, Sci-Fi",6.1,PG-13
Evvarikee Cheppoddu,Drama,7.2,N/A
Ex Machina,"Drama, Sci-Fi, Thriller",7.7,R
Executive Decision,"Action, Adventure, Thriller",6.4,R
Exes Baggage,"Drama, Romance",6.7,N/A
Exit Strategy,"Short, Sci-Fi, Thriller",7.6,N/A
Exit Wounds,"Action, Crime, Thriller",5.6,R
Expedition Happiness,Documentary,5.9,N/A
Rakuen Tsuiho: Expelled from Paradise,"Animation, Action, Adventure",6.7,TV-14
Expo,"Action, Crime, Drama",4.7,TV-14
Extinction,"Action, Drama, Sci-Fi",5.8,TV-MA
Extraction,"Action, Thriller",6.7,R
"Extremely Wicked, Shockingly Evil and Vile","Biography, Crime, Drama",6.7,R
Eye for an Eye,"Crime, Drama, Thriller",6.2,R
F*&% the Prom,"Comedy, Drama",4.2,Not Rated
F.R.E.D.I.,"Adventure, Family, Sci-Fi",5.1,N/A
Fabrizio Copano: Solo pienso en mi,Comedy,4.8,TV-MA
Face 2 Face,Drama,6.8,TV-MA
Fadily Camara: La plus drôle de tes copines,Comedy,5.5,N/A
"Faith, Hope & Love","Comedy, Romance",6.2,PG
Fakkah Fuzz: Almost Banned,Comedy,4.2,N/A
Fakta Ladh Mhana,"Action, Drama, Thriller",6.3,Not Rated
Fall Girls,Comedy,4.1,TV-14
Fallen,"Action, Crime, Drama",7.0,R
Falling Inn Love,"Comedy, Romance",5.6,TV-PG
Familiye,Drama,6.4,N/A
Family Blood,"Drama, Horror, Thriller",4.2,TV-MA
Fan of Amoory,Drama,5.0,N/A
Fanatic,"Horror, Thriller",6.3,Not Rated
Fanatyk,"Short, Comedy",6.7,N/A
Fandry,"Drama, Family",8.3,Not Rated
Fantastica,"Comedy, Fantasy",4.2,G
Faraar,"Action, Crime, Drama",6.9,N/A
Farce,"Animation, Short",7.2,N/A
Fary: Hexagone,Comedy,6.4,N/A
Fary Is the New Black,Comedy,6.0,TV-MA
Fashion,"Drama, Romance",6.9,Not Rated
Fatal Affair,Thriller,4.5,TV-14
Fate/Grand Order: First Order,Animation,5.7,N/A
Father Brown,"Crime, Drama, Mystery",7.7,TV-PG
Fatso,"Comedy, Drama",5.6,N/A
Fear and Loathing in Las Vegas,"Adventure, Comedy, Drama",7.6,R
Fearless,"Drama, Thriller",7.1,R
Feel Good,"Comedy, Drama, Romance",7.5,TV-MA
Feel Rich: Health Is the New Wealth,Documentary,6.4,N/A
Feel the Beat,"Comedy, Drama, Family",6.3,TV-G
Felix Lobrecht: Hype,Comedy,6.1,N/A
Feo pero Sabroso,Comedy,4.2,TV-MA
Fernando Sanjiao: Hombre,Comedy,6.3,TV-MA
Ferrari Ki Sawaari,"Comedy, Drama, Family",6.4,Not Rated
Ferris Bueller's Day Off,Comedy,7.8,PG-13
Fida,"Action, Crime, Drama",5.5,N/A
Fiddler on the Roof,"Drama, Family, Musical",8.0,G
Fierce,Documentary,7.8,N/A
Fifty,"Drama, Romance",6.0,Not Rated
Figaro Pho,"Animation, Comedy",6.6,N/A
Figures of Speech,"Animation, Documentary, Short",6.8,N/A
Filmworker,"Documentary, Biography",7.4,Not Rated
Final Destination,"Horror, Thriller",6.7,R
Final Destination 2,"Horror, Thriller",6.2,R
Final Destination 3,"Horror, Mystery, Thriller",5.8,R
Finally Found Someone,"Comedy, Romance",5.8,N/A
Finding Agnes,Drama,4.8,N/A
Fire at Sea,"Short, Drama",N/A,N/A
Fire in the Blood,"Documentary, History",7.7,N/A
Firebrand,Drama,5.3,N/A
Fireflies,"Drama, Family",6.2,N/A
Fireworks,"Short, Drama, Horror",7.0,N/A
First Impression,Comedy,4.9,Not Rated
First Kill,"Action, Thriller",5.0,R
First Kiss,"Comedy, Romance",3.9,N/A
First Love,"Comedy, Musical",7.0,Approved
First Match,"Drama, Sport",6.4,TV-MA
First They Killed My Father,"Biography, Drama, History",7.2,TV-MA
Firstborn,"Drama, Thriller",6.3,R
Fisherman's Friends,"Comedy, Drama, Music",7.0,PG-13
Fishtail,"Documentary, Western",6.7,N/A
Fitoor,"Drama, Romance",5.4,N/A
Five Came Back,"Documentary, Biography, History",8.3,TV-14
Five Nights in Maine,Drama,4.7,Unrated
Fiza,"Action, Crime, Drama",6.1,Not Rated
Flash of Genius,"Biography, Drama",7.0,PG-13
Flock of Four,"Adventure, Comedy, Drama",6.0,Not Rated
Follow Me,"Adventure, Horror, Mystery",5.4,R
For Colored Girls,Drama,6.1,R
For Greater Glory: The True Story of Cristiada,"Drama, History, War",6.6,R
For Here or to Go?,"Comedy, Drama",6.8,N/A
For Love or Money,"Comedy, Drama, Romance",6.2,PG
For the Birds,"Animation, Short, Comedy",8.0,G
Hosea: Prophet for the Broken-Hearted,"Short, Drama",N/A,N/A
For the Love of Benji,"Adventure, Comedy, Drama",6.0,G
For the Love of Spock,"Documentary, Biography",7.6,Not Rated
For Your Own Good,"Short, Comedy",N/A,N/A
Forbidden Games: The Justin Fashanu Story,Documentary,6.5,PG-13
Forbidden Planet,"Action, Adventure, Sci-Fi",7.6,G
Force 2,"Action, Adventure, Thriller",6.2,Not Rated
Forensic,"Crime, Mystery, Thriller",6.8,Not Rated
Forgive Us Our Debts,"Animation, Short, Family",6.6,N/A
Forgotten,"Thriller, Crime",7.7,N/A
Fortune Feimster: Sweet & Salty,Comedy,6.9,N/A
Four Christmases,"Comedy, Drama, Romance",5.7,PG-13
Four Sisters and a Wedding,"Comedy, Drama",7.3,Not Rated
Four Weddings and a Funeral,"Comedy, Drama, Romance",7.1,R
Fracture,"Crime, Drama, Thriller",7.2,R
Fractured,"Mystery, Thriller",6.4,TV-MA
Frances Ha,"Comedy, Drama, Romance",7.5,R
Franco Escamilla: Bienvenido al Mundo,Comedy,7.1,TV-MA
Franco Escamilla: Por la anécdota,Comedy,7.0,TV-MA
Frank,"Comedy, Drama, Music",7.0,R
"Frankenstein's Monster's Monster, Frankenstein",Comedy,5.9,TV-14
Frat Star,"Comedy, Drama",3.6,TV-MA
Freak Show,"Comedy, Drama",6.6,Not Rated
Freaks,"Drama, Horror",7.9,Not Rated
Freaks: You're One of Us,"Action, Drama, Fantasy",5.4,TV-MA
Fred Claus,"Comedy, Family, Fantasy",5.6,PG
Free Fire,"Action, Comedy, Crime",6.4,R
Free State of Jones,"Action, Biography, Drama",6.9,R
Free Willy,"Adventure, Drama, Family",6.0,PG
Freej Al Taibeen,Comedy,N/A,N/A
Freeway: Crack in the System,"Documentary, Biography, Crime",7.1,R
French Dirty,"Comedy, Drama",5.0,N/A
French Toast,Romance,5.7,N/A
Freshman Year,Drama,5.2,N/A
Friday the 13th,"Horror, Mystery, Thriller",6.4,R
Friend Request,"Horror, Mystery, Thriller",5.3,R
Friendship,"Crime, Drama, Mystery",6.7,N/A
From A to B,"Adventure, Comedy, Drama",5.8,N/A
From Paris with Love,"Action, Crime, Thriller",6.4,R
Froning: The Fittest Man in History,Documentary,6.7,PG
Fronteras,Drama,3.9,R
Frozen Planet,Documentary,9.0,TV-PG
Frozen River,"Crime, Drama",7.1,R
Fruitvale Station,"Biography, Crime, Drama",7.5,R
Fukrey,"Comedy, Drama, Romance",6.9,Not Rated
Fukrey Boyzzz: Space Mein Fukrapanti,"Animation, Comedy, Family",N/A,N/A
Full Count,"Drama, Fantasy, Sport",5.7,N/A
Full Out,"Biography, Drama, Family",6.4,TV-PG
Full Out 2: You Got This!,Family,4.8,N/A
Fullmetal Alchemist: Premium Collection,"Animation, Action, Adventure, Comedy, Fantasy",7.6,TV-PG
Blind Wave: Fullmetal Alchemist Brotherhood Reaction,Talk-Show,N/A,N/A
Fun Mom Dinner,Comedy,5.3,R
Funan,"Animation, Drama, History",6.9,N/A
Funny Boy,Drama,5.8,N/A
Furie,"Drama, Horror, Thriller",5.6,TV-MA
Furthest Witness,"Crime, Drama, Thriller",4.2,TV-MA
Istanbul Kirmizisi,Drama,5.5,N/A
G-Force,"Animation, Action, Adventure",5.1,PG
Görümce,"Comedy, Family, Romance",5.0,N/A
Gabbar Is Back,"Action, Comedy, Crime",7.1,Not Rated
Gad Elmaleh: American Dream,Comedy,7.2,TV-14
Gaga: Five Foot Two,"Documentary, Music",7.0,TV-MA
Galih dan Ratna,"Drama, Romance",6.6,N/A
Game of Thrones,"Action, Adventure, Drama",9.2,TV-MA
Game Over,"Drama, Mystery, Thriller",7.1,Not Rated
"Game Over, Man!","Action, Comedy",5.4,TV-MA
Gangaajal,"Action, Crime, Drama",7.8,Not Rated
Gangs of New York,"Crime, Drama",7.5,R
Gantz: O,"Animation, Action, Drama",7.1,N/A
Garbage,"Drama, Thriller",3.4,N/A
Gardeners of Eden,"Documentary, Adventure, Drama",8.0,N/A
Garfield Gets Real,"Animation, Adventure, Comedy, Family, Fantasy",4.4,Not Rated
Garfield's Fun Fest,"Animation, Adventure, Comedy, Family, Fantasy",4.4,TV-Y7
Garfield's Pet Force,"Animation, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",4.2,G
Garfunkel and Oates: Trying to Be Special,"Comedy, Music",7.4,TV-MA
Garuda di Dadaku,"Drama, Sport",6.7,TV-G
Gbomo Gbomo Express,Crime,5.1,N/A
Gehenna: Where Death Lives,"Horror, Mystery, Thriller",5.0,N/A
Gelo,"Drama, Fantasy, Mystery",5.7,N/A
Gemini,"Crime, Drama, Mystery",5.4,R
Genius,"Biography, Drama",6.6,PG-13
George Lopez: We'll Do It for Half,Comedy,5.6,TV-MA
George of the Jungle 2,"Adventure, Comedy, Family",3.4,PG
Gerald's Game,"Drama, Horror, Thriller",6.5,TV-MA
Geronimo Stilton,"Animation, Adventure, Comedy",6.8,TV-Y7
Get Him to the Greek,"Comedy, Music",6.3,R
Get In,"Short, Comedy",N/A,N/A
Get Me Roger Stone,"Documentary, Biography",7.3,TV-14
Get Santa,"Comedy, Family",6.3,PG
Get Smart,"Action, Adventure, Comedy",6.5,PG-13
The Getaway Plan: Move Along,"Short, Music",N/A,N/A
Getting Played,"Comedy, Romance",4.7,PG-13
Ghadi,"Comedy, Drama, Family",7.4,N/A
Ghanchakkar,"Comedy, Crime, Thriller",5.8,N/A
Ghayal,"Action, Crime, Drama",7.6,Not Rated
Ghost House,"Horror, Thriller",4.7,N/A
Ghost of the Mountains,Documentary,6.8,G
Ghost in the Shell Arise: Border 1 - Ghost Pain,"Animation, Action, Sci-Fi",7.1,TV-MA
Ghost Patrol,"Crime, Romance, Sci-Fi",4.6,Passed
Ghost Rider,"Action, Fantasy, Thriller",5.3,PG-13
Ghost Stories,"Drama, Horror",6.4,Not Rated
Ghost in the Shell Arise: Border 3 - Ghost Tears,"Animation, Action, Sci-Fi",7.2,TV-MA
Ghost Whispers,"Adult, Comedy, Horror",N/A,N/A
Ghosts of War,"Horror, Thriller, War",5.6,R
Ghoul,"Drama, Fantasy, Horror",7.1,TV-MA
Ghulam-E-Musthafa,"Action, Crime, Drama",6.6,Not Rated
Gie,"Biography, Drama",7.6,Not Rated
Gigi,"Comedy, Musical, Romance",6.7,G
Gimme Shelter,"Documentary, Music, Thriller",7.8,GP
GIMS: On the Record,"Documentary, Music",6.9,TV-MA
Ginger,"Action, Crime, Drama",3.9,R
Ginny Weds Sunny,"Comedy, Drama, Romance",5.7,TV-MA
Girl,Drama,7.1,R
Girl on the Third Floor,"Drama, Horror, Mystery",4.6,TV-MA
"Girl, boy, bakla, tomboy",Comedy,5.3,N/A
Hâ luô shàonû: Girl's Revenge,Drama,5.6,N/A
Girlfriend's Day,"Comedy, Drama",5.2,TV-MA
Girls und Panzer,"Animation, Action, Comedy",7.5,TV-14
Girls und Panzer der Film Special: Arisu War!,"Animation, Short, Comedy",7.3,N/A
Girls with Balls,"Comedy, Horror",3.9,N/A
Giving Voice,Documentary,6.7,PG-13
Gnome Alone,"Animation, Adventure, Comedy",5.6,PG
Go! Go! Cory Carson: The Chrissy,"Animation, Short, Family",6.8,N/A
God Bless the Broken Road,"Drama, Family, Romance",5.6,PG
God Knows Where I Am,"Documentary, Biography, Drama",7.3,Not Rated
God of War,"Short, Action",N/A,N/A
God's Not Dead,Drama,4.7,PG
God's Not Dead: A Light in Darkness,Drama,4.5,PG
God's Own Country,"Drama, Romance",7.7,Not Rated
Godzilla,"Action, Adventure, Sci-Fi",6.4,PG-13
Goedam,"Short, Horror, Mystery",5.8,TV-MA
Going for Gold,"Drama, Family, Sport",4.8,Unrated
GoldenEye,"Action, Adventure, Thriller",7.2,PG-13
Goldie,Drama,5.8,TV-MA
Goldstone,"Crime, Thriller",6.5,R
Gollu Aur Pappu,Comedy,3.7,Not Rated
Golmaal Returns,"Comedy, Crime, Mystery",5.1,Not Rated
Golmaal: Fun Unlimited,"Action, Comedy, Drama",7.5,N/A
Gone Are the Days,"Drama, Western",5.2,R
Agla Gonul,Drama,N/A,N/A
Good Burger,"Comedy, Family",5.7,PG
Good Hair,"Documentary, Comedy",6.9,PG-13
Good Kids,"Comedy, Drama",6.1,R
Good Kill,"Drama, Thriller, War",6.4,R
Good Kisser,"Comedy, Drama, Romance",4.3,N/A
Good Luck,"Comedy, Drama",6.3,R
Good Luck Chuck,"Comedy, Romance",5.6,R
"Good Night, and Good Luck.","Biography, Drama, History",7.4,PG
Good People,"Action, Crime, Thriller",5.5,R
Good Sam,Comedy,5.7,TV-PG
Good Time,"Crime, Drama, Thriller",7.4,R
Goodfellas,"Biography, Crime, Drama",8.7,R
Gook,Drama,7.0,Unrated
Goon,"Comedy, Drama, Sport",6.8,R
Goon: Last of the Enforcers,"Comedy, Sport",5.8,R
Goosebumps 2: Haunted Halloween,"Animation, Adventure, Comedy",5.6,PG
Gori Tere Pyaar Mein!,"Comedy, Drama, Romance",4.9,Not Rated
Gosford Park,"Comedy, Drama, Mystery",7.2,R
Gotham,"Action, Crime, Drama",7.8,TV-14
Gothika,"Horror, Mystery, Thriller",5.8,R
Gour Hari Dastaan: The Freedom File,"Biography, Drama",7.4,N/A
Gran Torino,Drama,8.1,R
Grand Masti,"Comedy, Drama, Thriller",4.4,Not Rated
Grand-Daddy Day Care,"Comedy, Family",4.9,PG-13
Grandmaster,"Action, Thriller",7.0,Not Rated
Grandmother's Farm,"Comedy, Horror, Mystery",2.9,N/A
Grandmother's Farm Part 2,"Comedy, Horror, Thriller",5.5,N/A
Grass,"Documentary, History",7.2,R
Grease,"Musical, Romance",7.2,PG
Greater,"Biography, Family, Sport",7.4,PG
Green Room,"Horror, Thriller",7.0,R
Greg Davies: You Magnificent Beast,Comedy,7.2,TV-MA
Grego Rossello: Disculpe Las Molestias,Comedy,4.4,TV-MA
Gridlocked,Action,5.8,R
The Grizzlies,"Biography, Drama",7.5,R
Growing Up Wild,Documentary,7.2,G
Guest House,Comedy,4.4,R
Guilty,"Drama, Thriller",5.4,TV-MA
Gumrah,"Action, Crime, Drama",6.2,Not Rated
Guna 369,"Action, Drama",6.3,N/A
Gunjan Saxena: The Kargil Girl,"Action, Biography, Drama",5.3,TV-14
Gurgaon,"Crime, Thriller",6.5,N/A
Guru,Drama,7.7,Not Rated
Guzaarish,"Drama, Romance",7.5,N/A
Héroes,"Comedy, Drama, Family",7.2,N/A
Hükümet Kadin,Comedy,6.5,N/A
Hükümet Kadin 2,Comedy,6.1,N/A
Haani,"Family, Romance",7.0,Not Rated
Habibie & Ainun,"Biography, Drama, Romance",7.6,TV-14
Hadi Insallah,Comedy,5.4,N/A
Haider,"Action, Crime, Drama",8.1,Not Rated
"Hail, Caesar!","Comedy, Drama, Music",6.3,PG-13
Hairspray,"Comedy, Drama, Musical",6.7,PG
Hakkunde,"Comedy, Drama",6.4,N/A
Half Girlfriend,"Drama, Romance",4.4,TV-PG
Halkaa,"Drama, Family",7.2,N/A
Halo Legends,"Animation, Action, Adventure, Sci-Fi",6.6,PG-13
Halo: The Fall of Reach,"Animation, Action, Adventure",5.7,TV-14
Hamara Dil Aapke Paas Hai,"Action, Drama, Romance",5.6,N/A
Hamburger Hill,"Action, Drama, Thriller",6.7,R
Hamid,Drama,7.8,N/A
Hamza's suitcase,"Comedy, Crime",4.1,N/A
Handsome Devil,"Comedy, Drama, Sport",7.1,TV-MA
Handsome: A Netflix Mystery Movie,"Comedy, Mystery",5.2,TV-MA
Hangman,"Crime, Drama, Mystery",5.2,R
Hannah Gadsby: Douglas,Comedy,7.9,TV-MA
Hannah Gadsby: Nanette,"Documentary, Comedy",8.3,TV-MA
Hannibal Buress: Comedy Camisado,Comedy,6.6,TV-MA
Hans Zimmer: Live in Prague,"Documentary, Music",9.1,E
Hantu Kak Limah,"Comedy, Horror",6.1,N/A
Happy Anniversary,Comedy,5.7,TV-MA
Happy Go Lucky,"Comedy, Musical, Romance",6.2,Approved
Happy Hunting,"Horror, Western",5.1,N/A
Happy New Year,"Action, Comedy, Crime",5.0,Not Rated
Happy Old Year,"Drama, Romance",7.2,N/A
Happy Times,"Action, Comedy, Horror",5.7,N/A
Haraamkhor,"Drama, Romance",6.4,N/A
Hard Kill,"Action, Thriller",3.3,R
Five Hard Lessons,"Short, Comedy, Drama, Family",N/A,N/A
Hard Tide,"Drama, Thriller",5.0,Not Rated
Hardcore Henry,"Action, Adventure, Sci-Fi",6.7,R
Hari Kondabolu: Warn Your Relatives,Comedy,6.4,N/A
Harishchandrachi Factory,"Biography, Comedy, Drama",8.4,Not Rated
Harith Iskander: I Told You So,Comedy,4.5,N/A
Harold,Comedy,5.5,PG-13
Harold,Comedy,5.5,PG-13
Harold and Lillian: A Hollywood Love Story,"Documentary, Biography",8.0,N/A
Harriet the Spy: Blog Wars,"Comedy, Family",4.7,TV-PG
Harry Benson: Shoot First,Documentary,7.3,Unrated
Harud,Drama,6.4,Not Rated
Hasee Toh Phasee,"Comedy, Romance",6.8,Not Rated
Haseena Maan Jaayegi,"Action, Comedy, Romance",6.2,N/A
Hattrick,"Drama, Thriller",5.8,N/A
Haunting on Fraternity Row,"Horror, Mystery, Thriller",3.9,TV-MA
Have a Good Trip: Adventures in Psychedelics,"Documentary, Comedy",6.8,TV-MA
Have You Seen the Listers?,Documentary,6.7,N/A
Havenhurst,"Horror, Mystery, Thriller",4.8,Not Rated
Hawaizaada,"Biography, Drama",5.5,Not Rated
Hayat Öpücügü,"Comedy, Drama, Romance",5.9,N/A
Haywire,"Action, Drama, Thriller",5.8,R
Hazaaron Khwaishein Aisi,Drama,7.9,N/A
He Named Me Malala,"Documentary, Biography",7.0,PG-13
He Never Died,"Comedy, Drama, Fantasy",6.4,R
He's Out There,"Horror, Thriller",5.3,R
Head Count,"Horror, Mystery, Thriller",5.4,Not Rated
Head On,"Drama, Romance",6.6,Not Rated
Headshot,"Action, Drama, Thriller",6.4,Not Rated
Headwinds,"Animation, Short",6.6,N/A
Heal,Documentary,7.0,Not Rated
Heartbreakers,"Comedy, Crime, Romance",6.2,PG-13
Heartthrob,"Drama, Romance, Thriller",5.4,Unrated
Heaven Without People,Drama,7.6,N/A
Bobby the Hedgehog,Animation,4.2,PG
Helios,Short,N/A,N/A
Hell and Back,"Animation, Adventure, Comedy",5.4,R
Hell or High Water,"Action, Crime, Drama",7.6,R
Hellboy,"Action, Fantasy",6.8,PG-13
Hello Brother,"Action, Comedy, Fantasy",4.7,N/A
"Hello, Love, Goodbye","Drama, Romance",7.3,TV-PG
"Hello, Privilege. It's Me, Chelsea",Documentary,4.4,TV-MA
Hemlock Grove,"Drama, Fantasy, Horror",7.1,TV-MA
Heneral Luna,"Action, Biography, History",7.5,R
Her,"Drama, Romance, Sci-Fi",8.0,R
Her Only Choice,Drama,5.4,TV-PG
Hera Pheri,"Action, Comedy, Crime",8.2,Not Rated
Here Alone,"Drama, Horror, Sci-Fi",5.6,Not Rated
Héritages,"Short, Drama",N/A,N/A
Hero,"Comedy, Drama, Romance",6.5,PG-13
Heroes Wanted,"Short, Drama",6.6,N/A
Heroine,Drama,5.1,Not Rated
Hickok,Western,4.7,Not Rated
Hidden in Plain Sight,Thriller,4.3,TV-14
Hide,"Action, Crime, Drama",5.3,R
Hide and Seek,"Drama, Horror, Mystery",6.0,R
High,"Crime, Drama, Thriller",9.0,N/A
High,"Crime, Drama, Thriller",9.0,N/A
High,"Crime, Drama, Thriller",9.0,N/A
High,"Crime, Drama, Thriller",9.0,N/A
High Flying Bird,"Drama, Sport",6.2,TV-MA
High Society,"Comedy, Musical, Romance",7.0,Not Rated
Highway,"Crime, Drama, Romance",7.6,Not Rated
Hillbilly Elegy,Drama,6.7,R
Himmatwala,"Action, Comedy, Drama",1.7,Not Rated
His House,"Drama, Horror, Thriller",6.5,TV-14
Hisss,"Comedy, Drama, Horror",2.9,Not Rated
History of Joy,Drama,5.1,N/A
Hit,"Action, Crime, Drama",7.7,Not Rated
Hitch,"Comedy, Romance",6.6,PG-13
Hjørdis,Family,7.2,N/A
Ho Mann Jahaan,"Drama, Music, Musical",7.1,N/A
Hoff the Record,Comedy,7.0,N/A
Hokkabaz,"Comedy, Drama",7.4,N/A
Hold the Dark,"Action, Drama, Thriller",5.6,TV-MA
Holding the Man,"Biography, Drama, Romance",7.4,Unrated
Hole in the Wall,Horror,8.9,N/A
Holidate,"Comedy, Romance",6.1,TV-MA
Holiday Rush,"Comedy, Drama, Family",4.9,TV-PG
Holidays,"Fantasy, Horror, Mystery",5.1,Not Rated
Holly Star,Comedy,5.2,PG
Holy Man 2,N/A,N/A,N/A
Holy Man 3,N/A,N/A,N/A
Hombanna,Drama,8.2,N/A
Home Is Where the Killer Is,Thriller,4.4,TV-14
Hometown Holiday,Romance,5.1,TV-PG
Honey 2,"Comedy, Drama, Music",5.3,PG-13
Honey: Rise Up and Dance,"Drama, Music",5.1,PG-13
Honeymoon Travels Pvt. Ltd.,"Comedy, Drama, Romance",6.1,Not Rated
Honeytrap,"Crime, Drama, Romance",5.9,N/A
Hoodwinked Too! Hood vs. Evil,"Animation, Adventure, Comedy",4.7,PG
Hook,"Adventure, Comedy, Family",6.8,PG
Hop,"Animation, Adventure, Comedy",5.4,PG
Hope Aur Hum,"Comedy, Drama, Family",6.3,N/A
Hope Springs Eternal,"Comedy, Drama",4.8,PG
HOPE one in a billion,Documentary,5.1,N/A
Horns,"Comedy, Crime, Drama",6.5,R
Horrid Henry's Gross Day Out,"Animation, Action, Adventure",6.1,TV-Y
Horror Story,Horror,4.2,N/A
Horse Girl,"Drama, Mystery, Thriller",6.0,R
Hostiles,"Drama, Western",7.2,R
Hot Bot,"Comedy, Sci-Fi",3.4,Not Rated
Hot Gimmick: Girl Meets Boy,Drama,4.5,N/A
Hot Property,Comedy,4.1,Unrated
Hot Rod,"Comedy, Sport",6.7,PG-13
Hotel for Dogs,"Comedy, Family",5.4,PG
Hotel Transylvania 3: Summer Vacation,"Animation, Adventure, Comedy",6.3,PG
House Arrest,"Comedy, Family",5.8,PG
House at the End of the Street,"Drama, Horror, Thriller",5.6,PG-13
House of the Witch,"Fantasy, Horror, Mystery, Thriller",4.3,Unrated
House of Z,Documentary,6.8,N/A
"Houston, We Have a Problem","Documentary, History",7.9,N/A
How High 2,Comedy,3.0,Not Rated
How It Ends,"Action, Drama, Mystery",5.0,TV-MA
How the Beatles Changed the World,"Documentary, History, Music",6.8,TV-PG
How the Grinch Stole Christmas,"Comedy, Family, Fantasy",6.2,PG
How to Be a Latin Lover,"Comedy, Drama",6.0,PG-13
How to Be a Player,Comedy,5.4,R
How to Make an American Quilt,"Comedy, Drama, Romance",6.3,PG-13
How to Stage a Coup,Documentary,6.0,N/A
